round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,batch_size,epochs,weight_regulizer,emb_output_dims,optimizer,losses,activation
10,5145.790116056213,0.015748031496062992,5696.488073957358,0.013559322033898305,3,1,1,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5548.119709645669,0.015748031496062992,4786.477517536131,0.010169491525423728,4,1,1,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,4430.613395420116,0.023622047244094488,4786.03127154987,0.010169491525423728,5,1,1,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27604.729480653295,0.0,28665.18808262712,0.0,6,1,3,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,27028.499154158464,0.0,28075.318346133474,0.0,8,1,4,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,28302.992202878937,0.0,29365.392703919493,0.0,6,1,4,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5152.51605717216,0.023622047244094488,5664.9945446467,0.010169491525423728,8,1,2,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5150.070633977652,0.007874015748031496,5725.556749324728,0.010169491525423728,6,1,1,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27171.783023383672,0.0,28276.458433093056,0.0,6,1,1,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27903.83742733452,0.0,28981.465465687896,0.0,6,1,2,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27593.754002368358,0.0,28654.941468319652,0.0,3,1,3,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5144.515132874016,0.015748031496062992,5623.987981660487,0.013559322033898305,8,1,4,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5027.555182509535,0.015748031965390905,5510.586807923398,0.013559322437997592,7,1,3,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,27017.581185408464,0.0,28064.42206700212,0.0,9,1,4,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,25499.966297059545,0.0,26545.88479541843,0.0,3,1,2,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,28158.058032418798,0.0,29226.540805415785,0.0,5,1,3,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27901.879871278295,0.0,28979.278574798067,0.0,4,1,2,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27603.795675442914,0.0,28664.54100983183,0.0,4,1,3,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5160.696963813361,0.015748031496062992,5629.321669756356,0.010169491525423728,2,1,4,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,22890.4326799648,0.0,23930.92572637655,0.0,2,1,1,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5447.981372743141,0.007874015982695453,5945.497229301323,0.006779661218998796,5,1,3,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5024.292690006767,0.015748031965390905,5496.608189986924,0.010169491828498193,4,1,3,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5288.38496795414,0.015748031965390905,5789.880748891022,0.013559322437997592,5,1,3,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5153.508607247683,0.023622047244094488,5753.57497422536,0.010169491525423728,2,1,1,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27603.900375246063,0.0,28664.861627714512,0.0,5,1,3,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5038.659661721057,0.015748031965390905,5505.850280373784,0.010169491828498193,9,1,3,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5063.631708100086,0.015748031965390905,5491.1567233845335,0.010169491828498193,2,1,3,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27068.72528412586,0.0,28136.13500148967,0.0,6,1,2,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,22877.09396939015,0.0,23917.66909991119,0.0,8,1,1,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,27897.105578324925,0.0,28974.9765095339,0.0,2,1,2,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,4811.884565578671,0.015748031496062992,5259.774883515956,0.013559322033898305,9,1,2,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5170.286235719215,0.023622047244094488,5642.244203082586,0.013559322033898305,3,1,2,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,22882.39083501861,0.0,23922.725982627224,0.0,3,1,1,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,25493.752856637548,0.0,26539.97483696372,0.0,6,1,2,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5302.266163743387,0.015748031965390905,5774.321595971059,0.006779661218998796,2,1,3,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5156.518143300935,0.015748031496062992,5640.001336566473,0.010169491525423728,6,1,4,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,28155.784741018702,0.0,29223.82533021054,0.0,6,1,3,10,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,4802.203677199957,0.015748031496062992,5270.99277881687,0.010169491525423728,5,1,2,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27076.56105630229,0.0,28143.738772841632,0.0,4,1,2,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,5020.742708461491,0.015748031965390905,5499.695372086864,0.013559322437997592,5,1,3,40,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,25675.996799979624,0.0,26758.67993464066,0.0,9,1,1,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
40,26480.859778697097,0.0,27527.86770971266,0.0,7,1,3,40,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
10,5488.4481364573085,0.007874015748031496,5988.156608348781,0.010169491525423728,5,1,4,10,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,27591.093684639516,0.0,28652.217290121822,0.0,9,1,3,20,None,None,nadam,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
20,5359.12515378937,0.015748031496062992,5866.919061175848,0.010169491525423728,9,1,4,20,None,None,SGD,<function mean_squared_error at 0x000001D56F799F28>,<function linear at 0x000001D56F7E7620>
